id,text,username,name,date,retweets,likes,label
1,"Drinking bleach cures all cancers. Big Pharma doesn't want you to know this.",misinfo_user1,"Fake Health Info",2023-10-26,12,35,false
2,"Vaccines cause autism. It's a proven fact, do your research!",anti_vax_truth,"Truth Seeker",2023-10-27,45,120,false
3,"Chemotherapy is poison. Natural remedies are the only way to beat cancer.",natural_cures_only,"Holistic Health",2023-10-28,28,78,false
4,"5G towers spread COVID-19. They're using them to control our minds.",conspiracy_dude,"Conspiracy Theorist",2023-10-29,60,150,false
5,"Garlic and onions can cure any infection. Antibiotics are just a scam.",herbal_healer,"Herbal Remedies",2023-10-30,15,40,false
6,"The flu shot gives you the flu. It weakens your immune system.",flu_shot_lie,"Anti-Vaccine Mom",2023-10-31,30,90,false
7,"Lyme disease is a hoax created by doctors to sell more drugs.",lyme_hoax,"Lyme Truth",2023-11-01,20,55,false
8,"Essential oils can cure diabetes. Insulin is just a money-making scheme.",oil_cure_all,"Essential Oils Expert",2023-11-02,35,100,false
9,"Homeopathy is more effective than modern medicine. It's all natural.",homeo_power,"Homeopathy Advocate",2023-11-03,18,50,false
10,"Alzheimer's disease is caused by aluminum in vaccines. Avoid them at all costs.",alz_vaccine_lie,"Vaccine Skeptic",2023-11-04,40,110,false
11,"COVID-19 is just a common cold. The media is exaggerating everything.",covid_downplayer,"Real News",2023-11-05,50,130,false
12,"Autism is curable with a special diet. Doctors are hiding the truth.",autism_cure,"Autism Mom",2023-11-06,25,70,false
13,"Cancer is a fungus. Baking soda can cure it. Doctors are suppressing this information.",cancer_fungus,"Baking Soda Cure",2023-11-07,32,85,false
14,"Measles is a harmless childhood illness. Vaccines are more dangerous.",measles_lie,"Anti-Measles",2023-11-08,48,125,false
15,"Chemtrails are spreading diseases. They're part of a government conspiracy.",chemtrail_disease,"Chemtrail Watch",2023-11-09,65,160,false
16,"Coconut oil can cure heart disease. Statins are just a scam.",coconut_heart,"Coconut Oil Lover",2023-11-10,17,45,false
17,"The polio vaccine causes polio. It's a dangerous experiment.",polio_lie,"Polio Truth",2023-11-11,38,105,false
18,"Vitamin C can cure cancer. Chemotherapy is unnecessary and harmful.",vitc_cancer,"Vitamin C Advocate",2023-11-12,22,60,false
19,"HIV/AIDS is a hoax created by the pharmaceutical industry.",aids_hoax,"AIDS Truth",2023-11-13,55,140,false
20,"Fluoride in water causes cancer. It's a government plot to poison us.",fluoride_cancer,"Fluoride Free",2023-11-14,42,115,false
21,"Asthma is caused by vaccines. Inhalers are just a way to keep you sick.",asthma_vaccine,"Vaccine Truth",2023-11-15,29,80,false
22,"Arthritis is a fake disease created by doctors to sell painkillers.",arthritis_fake,"Arthritis Truth",2023-11-16,37,95,false
23,"Lupus is caused by chemtrails. They're poisoning our skies.",lupus_chemtrails,"Chemtrail Watch",2023-11-17,58,145,false
24,"Multiple sclerosis is cured by a gluten-free diet. Doctors are hiding this.",ms_gluten,"MS Cure",2023-11-18,24,65,false
25,"Parkinson's disease is caused by mercury in fillings. Dentists are lying to us.",parkinsons_mercury,"Mercury Truth",2023-11-19,41,112,false
26,"Crohn's disease is just a reaction to processed foods. Eat organic and you'll be fine.",crohns_organic,"Organic Health",2023-11-20,19,52,false
27,"Epilepsy is caused by demonic possession. Exorcisms are the only cure.",epilepsy_demons,"Exorcism Truth",2023-11-21,63,158,false
28,"Migraines are caused by Wi-Fi signals. Turn off your router and they'll disappear.",migraine_wifi,"Wi-Fi Truth",2023-11-22,34,88,false
29,"Kidney stones are caused by drinking tap water. Drink distilled water instead.",kidney_distilled,"Distilled Water",2023-11-23,26,72,false
